         ns       /busy_counter_tb/test/clk  /busy_counter_tb/test/clk                                       
          delta        /busy_counter_tb/test/busy               /busy_counter_tb/test/busy                   
           /busy_counter_tb/test/global_reset  /busy_counter_tb/test/global_reset                            
        /busy_counter_tb/test/game_engine_reset  /busy_counter_tb/test/game_engine_reset                     
                       /busy_counter_tb/test/busy_count         /busy_counter_tb/test/busy_count             
      0.000  +0                           U U U U     ?              U          U      U U     ? 
   1460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   1480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   1500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   1515.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   1520.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   1540.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   1560.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   1580.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   1600.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   1620.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   1640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   1660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   1680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   1700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   1720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   1740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   1760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   1780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   1800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   1820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   1840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   1860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   1880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   1900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   1920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   1940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   1960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   1980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   2000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   2020.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   2040.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   2060.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   2080.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   2100.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   2120.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   2140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   2160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   2180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   2200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   2220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   2240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   2260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   2280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   2300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   2320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   2340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   2360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   2380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   2400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   2420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   2440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   2460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   2480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   2500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   2520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   2525.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   2540.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   2560.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   2580.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   2600.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   2620.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   2640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   2660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   2680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   2700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   2720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   2740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   2760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   2780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   2800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   2820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   2840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   2860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   2880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   2900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   2920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   2940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   2960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   2980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   3000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   3020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   3030.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   3040.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   3060.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   3080.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   3100.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   3120.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   3140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   3160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   3180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   3200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   3220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   3240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   3260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   3280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   3300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   3320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   3340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   3360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   3380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   3400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   3420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   3440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   3460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   3480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   3500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   3520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   3535.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   3540.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   3560.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   3580.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   3600.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   3620.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   3640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   3660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   3680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   3700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   3720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   3740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   3760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   3780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   3800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   3820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   3840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   3860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   3880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   3900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   3920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   3940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   3960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   3980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   4000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   4020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   4040.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   4060.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   4080.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   4100.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   4120.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   4140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   4160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   4180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   4200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   4220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   4240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   4260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   4280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   4300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   4320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   4340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   4360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   4380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   4400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   4420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   4440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   4460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   4480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   4500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   4520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   4540.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   4545.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   4560.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   4580.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   4600.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   4620.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   4640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   4660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   4680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   4700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   4720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   4740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   4760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   4780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   4800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   4820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   4840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   4860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   4880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   4900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   4920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   4940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   4960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   4980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   5000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   5020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   5040.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   5050.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   5060.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   5080.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   5100.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   5120.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   5140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   5160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   5180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   5200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   5220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   5240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   5260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   5280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   5300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   5320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   5340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   5360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   5380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   5400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   5420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   5440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   5460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   5480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   5500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   5520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   5540.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   5555.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   5560.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   5580.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   5600.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   5620.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   5640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   5660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   5680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   5700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   5720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   5740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   5760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   5780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   5800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   5820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   5840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   5860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   5880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   5900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   5920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   5940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   5960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   5980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   6000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   6020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   6040.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   6060.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   6080.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   6100.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   6120.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   6140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   6160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   6180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   6200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   6220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   6240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   6260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   6280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   6300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   6320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   6340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   6360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   6380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   6400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   6420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   6440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   6460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   6480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   6500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   6520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   6540.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   6560.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   6565.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   6580.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   6600.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   6620.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   6640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   6660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   6680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   6700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   6720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   6740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   6760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   6780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   6800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   6820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   6840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   6860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   6880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   6900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   6920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   6940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   6960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   6980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   7000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   7020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   7040.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   7060.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   7070.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   7080.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   7100.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   7120.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   7140.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   7160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   7180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   7200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   7220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   7240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   7260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   7280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   7300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   7320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   7340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   7360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   7380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   7400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   7420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   7440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   7460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   7480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   7500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   7520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   7540.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
   7560.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
   7575.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   7580.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   7600.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   7620.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   7640.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   7660.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   7680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   7700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   7720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   7740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   7760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   7780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   7800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   7820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   7840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   7860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   7880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   7900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   7920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
   7940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
   7960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
